Status,Campaign ID,Program,Domain,Payout,Type,Deeplink allowed,Affiliate link
Pre-approved (open),5007,Teepublic US,teepublic.com,1.42%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.teepublic.com%2F
Pre-approved (open),36262,Tellent,tellent.com,11.25%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fauth.tellent.com%2Fsign-up
Pre-approved (open),7883,Temptation Experience,temptation-experience.com,3.84%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.temptation-experience.com%2F
Pre-approved (open),5399,temu,temu.com,20.25%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.temu.com%2F
Pre-approved (open),58562,Ten X You,tenxyou.com,4.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftenxyou.com%2F
Pre-approved (open),20139,Tenable,tenable.com,3.75%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.tenable.com
Pre-approved (open),58276,Tenniix,tenniix.ai,4.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fde.tenniix.ai%2F
Pre-approved (open),5093,Tenways (US),tenways.com,4.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.tenways.com%2F
Pre-approved (open),3559,Tessabit,tessabit.com,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.tessabit.com%2F
Pre-approved (open),53913,TESSAN,tessan.com,6%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftessan.com%2F
Pre-approved (open),12994,The Ayurveda Experience,theayurvedaexperience.com,3.75%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftheayurvedaexperience.com%2F
Pre-approved (open),6456,The Bear House,thebearhouse.com,11.25%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fthebearhouse.com%2F
Pre-approved (open),7052,The Double F - UK,thedoublef.com,3.75%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.thedoublef.com%2F
Pre-approved (open),42218,The Formal Club,theformalclub.in,3%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftheformalclub.in%2F
Pre-approved (open),5082,The Fragrance Shop,thefragranceshop.co.uk,1.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.thefragranceshop.co.uk%2F
Pre-approved (open),7882,The Framery,theframery.com,3.75%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.theframery.com%2F
Pre-approved (open),52587,The Granville Island Pet Treatery Corp,pettreatery.com,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fpettreatery.com
Pre-approved (open),24203,The Great Courses Plus,thegreatcoursesplus.com,3.75%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.thegreatcoursesplus.com%2F
Pre-approved (open),42755,The Gut Co,thegutco.com.au,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fthegutco.com.au%2F
Pre-approved (open),4474,The House of Rare,thehouseofrare.com,3%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fthehouseofrare.com%2F
Pre-approved (open),2514,The Man Company,themancompany.com,10.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.themancompany.com%2F
Pre-approved (open),11125,THE ORFY,theorfy.com,18.75%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftheorfy.com
Pre-approved (open),56819,The Trost,thetrost.com,9%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fthetrost.com%2F
Pre-approved (open),13668,The Very Warm,theverywarm.com,11.25%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.theverywarm.com%2F
Pre-approved (open),79312,The Wallet Store,thewalletstore.in,5.25%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.thewalletstore.in%2F
Pre-approved (open),13927,Thefitville,thefitville.com,7.13%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fthefitville.com%2F
Pre-approved (open),55536,ThePhiladelphiaInquirer,inquirer.com,5.25 INR,CPS,No,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.inquirer.com%2F
Pre-approved (open),4869,Thermopro (US),buythermopro.com,15%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fbuythermopro.com%2F
Pre-approved (open),7703,Thewoodveneerhub,thewoodveneerhub.com,3.56%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.thewoodveneerhub.com%2F
Pre-approved (open),5549,Thisshop TH,thisshop.com,3.15%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fm1.thisshop.com%2Fm%2Fapptransfer
Pre-approved (open),29374,Thordata,thordata.com,37.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.thordata.com
Pre-approved (open),7328,ThriftBooks,thriftbooks.com,1.8%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.thriftbooks.com%2F
Pre-approved (open),744,Thrifty Car Rental,thrifty.com,2.25%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.thrifty.com
Pre-approved (open),35552,Thrillophilia,thrillophilia.com,4050 INR,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.thrillophilia.com%2F
Pre-approved (open),4291,tiket,tiket.com,2.63%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.tiket.com%2F
Pre-approved (open),35152,Tiktok App - IOS,apple.com,75 INR,CPI - IOS,No,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fapps.apple.com%2Fus%2Fapp%2Ftiktok-videos-shop-live%2Fid835599320
Pre-approved (open),5856,TikTok Business,tiktok.com,15%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fgetstarted.tiktok.com%2Fttam-partners
Pre-approved (open),4638,Timex,timexindia.com,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fshop.timexindia.com%2F
Pre-approved (open),7274,Tiny Land,tinylandus.com,8.55%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.tinylandus.com%2F
Pre-approved (open),4787,Tiqets,tiqets.com,4.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.tiqets.com%2Fen%2F
Pre-approved (open),4688,Titan Skinn,skinn.in,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.skinn.in%2F
Pre-approved (open),3398,Titan Watches,titan.co.in,5.25%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.titan.co.in%2F
Pre-approved (open),78287,TM Perfume,tmperfumehouse.com,9%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftmperfumehouse.com%2F
